Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89783057236296182;0.0045491572267740794;-0.13134937903623856;0.00028013573462813143;0.89783057236296182;-0.11789517080697062;-0.96266935657816388;3.431735265506386e-05;0.064414102388761524;0.0039666010633541728
2025;0.80648365873207761;0.0088005834646688891;-0.14083247149955236;0.00054204434302550187;0.80648365873207761;-0.11351268504807616;-0.92715662720952408;6.6401835163876211e-05;0.12461246251011934;0.0076751138882163797
2030;0.72578433403658815;0.41147764389806196;0.06945186630539224;0.094519990875692225;0.72578433403658815;0.061986020092044944;0.41147764389806196;0.011578943557987678;5.8263457962589351;1.3383622650407039
2035;0.65291730003958048;0.40259801289277075;0.07553682334192624;0.091056120420378223;0.65291730003958048;0.060473909210567466;0.40259801289277075;0.011154610460590221;5.7006140546996642;1.2893153548005354
2040;0.58771668507505404;0.39409478819209764;0.082144395315947305;0.087856464088587743;0.58771668507505404;0.059040275989855964;0.39409478819209764;0.010762644277272616;5.5802120639132937;1.2440096024840883
2045;0.5290275837691043;0.38572330263896376;0.089318788871334265;0.084763898428854845;0.5290275837691043;0.057635900040283142;0.38572330263896376;0.010383796978498415;5.4616754425822274;1.2002202078512578
2050;0.47619964344960308;0.3774838587700966;0.0971079052561441;0.081774972416066752;0.47619964344960308;0.056260395663871587;0.3774838587700966;0.010017645804757933;5.3450084744959163;1.1578983058763086
2055;0.4286474724243744;0.3693766033632091;0.10556364611062352;0.078886342703464007;0.4286474724243744;0.054913371272638414;0.3693766033632091;0.0096637811874185006;5.2302132379634099;1.1169965562125015
2060;0.38496582235041965;0.25370540942829878;0.080733321234682798;0.083985306954948213;0.38496582235041965;0.041367986907662788;0.25370540942829878;0.010288417507472527;3.5923590689095097;1.1891956887108626
2065;0.34717599430694307;0.24037826330906412;0.084818535799224826;0.078876692289975722;0.34717599430694307;0.039109558488539919;0.24037826330906412;0.0096625989867849954;3.4036524333986682;1.116859910523742
