Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89801603601617619;0.0013802064557909834;-0.13013808876380928;3.7827644952351944e-05;0.89801603601617619;-0.11686151442150106;-0.96603810437613047;4.5761848962294627e-06;0.0078656150993420756;0.00021557477438348486
2025;0.80648765613171047;0.0026699962409551339;-0.13999547862677542;7.3244415085522085e-05;0.80648765613171047;-0.11289576471161281;-0.93329185357877742;8.8607151322722677e-06;0.015215957482250519;0.00041741029019386558
2030;0.73093538550031489;-1.9413533950347066;-0.32130676655947044;-0.10439594397252749;0.73093538550031489;-0.2474837447170827;-1.9413533950347066;-0.012629259438076496;-11.063517717277254;-0.59493875700631682
2035;0.65708494247628957;-1.8691713466421409;-0.3441294647528792;-0.10077114791595734;0.65708494247628957;-0.23831304067151188;-1.8691713466421409;-0.012190751119969923;-10.652161715169129;-0.57428152092763596
2040;0.59075053234776187;-1.7998037302253349;-0.36856601346053619;-0.097264609110111061;0.59075053234776187;-0.22949711758469415;-1.7998037302253349;-0.01176654892759002;-10.256844790803122;-0.55429821737042506
2045;0.53111298630725112;-1.7329767367251792;-0.39472994269451611;-0.093875680846431428;0.53111298630725112;-0.22100277327499071;-1.7329767367251792;-0.01135657462561615;-9.8760065423562811;-0.53498516082765635
2050;0.47749619130512289;-1.6685982776787682;-0.42274272096287091;-0.090600568857723288;0.47749619130512289;-0.21281840836575916;-1.6685982776787682;-0.010960369204023962;-9.5091221697878119;-0.51632072826951725
2055;0.42929229681433895;-1.6065795746201839;-0.45273430642815415;-0.087435595818742703;0.42929229681433895;-0.20493283805298601;-1.6065795746201839;-0.010577487799796975;-9.1556857362944974;-0.49828396310299761
2060;0.39110043527907923;-1.7603571752783973;-0.54451112178081629;0.060068182381025119;0.39110043527907923;-0.20569181132801087;-1.7603571752783973;0.0072667254147660842;-10.032044061241365;0.34232067263839516
2065;0.35205069799361532;-1.6768589728731389;-0.5762163653218827;0.061993529189170039;0.35205069799361532;-0.19535773009760149;-1.6768589728731389;0.0074996435093113434;-9.5561987854486681;0.3532929709217964
2070;0.31694710482594335;-1.5971944653261827;-0.60962850677558911;0.063811626242823188;0.31694710482594335;-0.18550040313610472;-1.5971944653261827;0.0077195871057812449;-9.1022012325362773;0.36365406695730806
2075;0.28534458449236599;-1.5209609112936309;-0.64482620371022481;0.0654750740462961;0.28534458449236599;-0.17607684309919019;-1.5209609112936309;0.0079208220682936425;-8.6677562325443667;0.37313383725186566
2080;0.25689387372627609;-1.4480182988559316;-0.68189037735434388;0.066990697476320832;0.25689387372627609;-0.1670692864615258;-1.4480182988559316;0.0081041740337037815;-8.2520658759544752;0.38177117588051823
2085;0.23128055950606613;-1.3782321424955535;-0.72090411423726408;0.068365095853978999;0.23128055950606613;-0.15846066553866117;-1.3782321424955535;0.0082704413523582709;-7.8543637474865555;0.3896036915063229
2090;0.20822160082056632;-1.311473269736118;-0.76195254065207774;0.069604648200789307;0.20822160082056632;-0.15023458203992501;-1.311473269736118;0.0084203957239482596;-7.4739137101834459;0.39666773733409616
2095;0.18746219765944305;-1.2476176158932002;-0.80512266643849584;0.070715518477184214;0.18746219765944305;-0.14237528160475899;-1.2476176158932002;0.0085547828312321494;-7.1100087357226709;0.40299844096380394
2100;0.16942002315356686;0.17398878872966614;0.12423695176726479;-0.019676769078098511;0.16942002315356686;0.01866783762313657;0.17398878872966614;-0.0023803896218019989;0.99153922806715855;-0.11213531955135055
2105;0.15246281276792029;0.19441371695256934;0.1542613881147098;-0.015661697002604075;0.15246281276792029;0.021624457322043229;0.19441371695256934;-0.0018946678114092549;1.1079382082045002;-0.08925395176072029
2110;0.13723235594253932;0.21332847658422868;0.18805573056254743;-0.011886826043695007;0.13723235594253932;0.024369326714266108;0.21332847658422868;-0.0014380042393276719;1.2157309361221098;-0.067741458547922614
2115;0.12352378611554651;0.23077672353040185;0.22601416973867527;-0.0082989091157866998;0.12352378611554651;0.02691416860216149;0.23077672353040185;-0.0010039573597214607;1.3151662010863048;-0.047294391774012089
2120;0.11118498838922203;0.24683527149506479;0.26856865391107765;-0.0048915738811741881;0.11118498838922203;0.02926904638534087;0.24683527149506479;-0.00059175628147128609;1.4066817542953169;-0.027876436324347734
2125;0.10007905615330856;0.26157742745761597;0.31619232403363728;-0.0016585916113246674;0.10007905615330856;0.031443581865684973;0.26157742745761597;-0.00020064748652254966;1.4906953625851327;-0.0094520954940766136
2130;0.090082770161356143;0.27507314104511094;0.36940325089773185;0.0014061225204397266;0.090082770161356143;0.033446973282185578;0.27507314104511094;0.00017010513470742256;1.5676056596822154;0.0080133073439054864
2135;0.08108522975019461;0.28738914779669839;0.42876850033088942;0.0043085094296250138;0.08108522975019461;0.035288012641178833;0.28738914779669839;0.00052122028220227129;1.6377929626486896;0.024553628685858243
2140;0.072986620979038949;0.29858910656409898;0.49490855457389737;0.0070543663720524135;0.072986620979038949;0.036975102368739216;0.29858910656409898;0.00085339927677015315;1.7016200549095997;0.040201906330388379
2145;0.065697107988410386;0.30873373128173309;0.56850212033786041;0.0096493474350920865;0.065697107988410386;0.038516271310947245;0.30873373128173309;0.0011673261194705548;1.7594329371935422;0.054990362177926189
2150;0.059135835250190436;0.31788091733050666;0.65029135660956139;0.012098964248798161;0.059135835250190436;0.039919190106729438;0.31788091733050666;0.0014636675776435806;1.8115615476632649;0.068950406283390511
2155;0.053230029613994465;0.32608586271182061;0.74108755805682991;0.014408586898294107;0.053230029613994465;0.041191185957213321;0.32608586271182061;0.0017430732952854258;1.8583204524704116;0.082112642055753027
2160;0.047914192165400937;0.33340118423844928;0.84177733289534373;0.016583445019858849;0.047914192165400937;0.042339256814473147;0.33340118423844928;0.0020061759256469747;1.9000095079120609;0.094506872504488873
2165;0.043129370910771417;0.33987702894164984;0.95332931734137261;0.018628629064293391;0.043129370910771417;0.043370085011797663;0.33987702894164984;0.0022535912840690939;1.9369144953251922;0.10616210743933688
2170;0.038822506202571459;0.34556118088607063;1.0768014723076091;0.020549091712049848;0.038822506202571459;0.044290050356777563;0.34556118088607063;0.0024859185191773298;1.9693077298108028;0.11710657153493391
2175;0.034945841628273362;0.35049916357606264;1.2133490118229839;0.022349649425704547;0.034945841628273362;0.045105242707679724;0.35049916357606264;0.0027037403006917454;1.9974486438340109;0.12736771317815485
2180;0.031456393814095755;0.35473433813013305;1.3642330167995098;0.024034984126140534;0.031456393814095755;0.045821474052839754;0.35473433813013305;0.0029076230222024602;2.0215843467073573;0.13697221402045634
2185;0.028315475250125659;0.35830799739322217;1.5308297922527969;0.025609644979718318;0.028315475250125659;0.046444290112061026;0.35830799739322217;0.0030981170173719486;2.0419501609242952;0.14594599916272782
2190;0.025488264833069346;0.36125945614989757;1.7146410309376692;0.027078050284533958;0.025488264833069346;0.046978981478310755;0.36125945614989757;0.0032757567881243899;2.0587701362723219;0.15431424790482834
2195;0.022943421353558709;0.36362613759500551;1.9173048516151314;0.028444489444633715;0.022943421353558709;0.047430594317303849;0.36362613759500551;0.0034410612434755336;2.0722575426178493;0.16210140499637624
2200;0.020093473348996561;0.67055411118736297;4.0371331531273258;0.061208110219683892;0.020093473348996561;0.088524655168257915;0.67055411118736297;0.0074046277495435353;3.8213997041903154;0.34881697149447921
2205;0.018062455720099298;0.66996598946837194;4.4871462039494547;0.065454922155318604;0.018062455720099298;0.088967263819430265;0.66996598946837194;0.0079183842009815791;3.8180480758496871;0.37301899427508645
2210;0.016242159130388789;0.66888761371873828;4.9819991833923378;0.069434478373157388;0.016242159130388789;0.089318233018188462;0.66888761371873828;0.0083998094940631041;3.8119025542550777;0.39569796186314538
2215;0.014605403691153172;0.6671473386563237;5.5258927531185336;0.073145305952688436;0.014605403691153172;0.089556619856105912;0.6671473386563237;0.008848725442791916;3.8019849555143215;0.41684548027834295
2220;0.013133673326333388;0.66479081792163131;6.1234060890248188;0.076598093986961518;0.013133673326333388;0.089689240373848705;0.66479081792163131;0.0092664251561159899;3.7885554537213548;0.43652246525639238
2225;0.011810320863215169;0.66186136434524534;6.7795300921838493;0.079803226894693324;0.011810320863215169;0.089722590575636224;0.66186136434524534;0.00965416488512226;3.7718608830021951;0.45478809623404609
2230;0.010620379300592789;0.65840005708334881;7.499703458089968;0.082770788673505347;0.010620379300592789;0.089662859904453301;0.65840005708334881;0.010013164537570438;3.7521353480661679;0.47169984058773945
2235;0.0095503921456679269;0.65444584412702778;8.2898518466692934;0.085510567366560042;0.0095503921456679269;0.089515944183423804;0.65444584412702778;0.010344608218242624;3.7296008083929504;0.48731347908836259
2240;0.0085882608920928531;0.65003564037819972;9.1564304158443086;0.088032059717658678;0.0085882608920928531;0.089287458043657161;0.65003564037819972;0.010649644792091989;3.704467637154393;0.50168313243005114
2245;0.0077231079065163679;0.64520442147739054;10.106470003472012;0.090344475991497572;0.0077231079065163679;0.088982746858156631;0.64520442147739054;0.010929388467371431;3.6769351559266816;0.51486128870019254
2250;0.0069451531662142914;0.63998531356107369;11.147627266332428;0.092456744937396515;0.0069451531662142914;0.088606898200664155;0.63998531356107369;0.011184919396118723;3.6471921462056094;0.52689883166706164
2255;0.0062456034478804625;0.63440967911887425;12.28823911068061;0.094377518876222824;0.0062456034478804625;0.088164752847591579;0.63440967911887425;0.011417284289545207;3.6154173386954951;0.53784506976953206
2260;0.0056165527092141218;0.6285071991140917;13.537381776859071;0.096115178891669303;0.0056165527092141218;0.087660915340532358;0.6285071991140917;0.011627497046048665;3.5817798813032415;0.54774776570148664
2265;0.0050508925321777051;0.62230595152419532;14.904934970769634;0.097677840108349387;0.0050508925321777051;0.087099764126183532;0.62230595152419532;0.011816539389728861;3.5464397867302928;0.55665316649098739
2270;0.0045422316111656241;0.61583248645160626;16.401651467820731;0.099073357040388707;0.0045422316111656241;0.086485461289887738;0.61583248645160626;0.011985361517431362;3.509548360519104;0.56460603398119591
2275;0.004084823372121872;0.60911189794890586;18.03923265050156;0.10030932899539664;0.004084823372121872;0.085821961898403687;0.60911189794890586;0.01213488275249093;3.4712486103755569;0.57164967562689628
2280;0.0036735009010434635;0.60216789269664905;19.83041047921197;0.10139310551978056;0.0036735009010434635;0.085113022966923246;0.60216789269664905;0.012265992203476336;3.4316756375547914;0.57782597552662485
2285;0.0033036184433599164;0.59502285566632385;21.789036437641141;0.10233179187242024;0.0033036184433599164;0.084362212064798547;0.59502285566632385;0.012379549426366029;3.3909570110657734;0.58317542561642144
2290;0.0029709988103320904;0.5876979128955645;23.930178039100024;0.10313225451467097;0.0029709988103320904;0.083572915573900453;0.5876979128955645;0.012476385088699166;3.3492131254189825;0.58773715695663487
2295;0.0026718860957166985;0.58021299149748817;26.270223529054171;0.10380112660563569;0.0026718860957166985;0.082748346613013557;0.58021299149748817;0.012557301634364054;3.3065575426117295;0.59154897104875603
2300;0.0023643729453446472;0.4240443434388188;21.696493585872375;0.10584449698166618;0.0023643729453446472;0.064103100028224211;0.4240443434388188;0.012804497584943897;2.4165729529438416;0.60319387012586023
2305;0.0021224566689357089;0.40572980442461065;23.125564258344045;0.0990542013701389;0.0021224566689357089;0.061066052250564822;0.40572980442461065;0.011983044167541229;2.3122008033982224;0.5644968683353444
2310;0.0019052964158502181;0.38814387751355256;24.644751810247367;0.092630053994322073;0.0019052964158502181;0.058161442686650827;0.38814387751355256;0.011205885393068347;2.211980918418571;0.52788649719295944
2315;0.0017103584390251703;0.37125893804129023;26.259354277422098;0.086554265030859542;0.0017103584390251703;0.055383777336181855;0.37125893804129023;0.010470869144441265;2.1157558686752767;0.49326137483469684
2320;0.0015353683568346791;0.35504837650456372;27.974942633021804;0.080809851416852443;0.0015353683568346791;0.05272778260512119;0.35504837650456372;0.0097759409021140956;2.0233740101083151;0.46052471701830783
2325;0.0013782845992524758;0.33948656205193639;29.797370707904491;0.075380602006140662;0.0013782845992524758;0.050188396673795113;0.33948656205193639;0.0091191395288735128;1.9346892758657142;0.42958413855353378
2330;0.0012372745730112587;0.32454880726739932;31.732784963978133;0.070251044176857694;0.0012372745730112587;0.047760761196964596;0.32454880726739932;0.0084985932302004616;1.8495609756099463;0.40035146300295177
2335;0.0011106932673031393;0.31021133420149516;33.787634034465611;0.065406411831510955;0.0011106932673031393;0.045440213323275462;0.31021133420149516;0.0079125156830920987;1.7678536019337689;0.37274254031864068
2340;0.00099706405008674094;0.29645124160630493;35.968677932317036;0.060832614733116609;0.00099706405008674094;0.043222278021974023;0.29645124160630493;0.0073592023265124165;1.6894366436367243;0.34667707209284532
2345;0.00089506143066605723;0.28324647333215408;38.282996813771504;0.056516209123198755;0.00089506143066605723;0.041102660705234349;0.28324647333215408;0.006837026806915919;1.6141844056221217;0.32207844411381759
