Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89801031786929242;0.0020134368221007321;-0.041493488546340274;5.6133159002715023e-08;0.89801031786929242;-0.037261578672428297;-0.96539871394155374;2.1665765778666746e-09;0.00421469026392912;1.1750250920984297e-07
2025;0.80642253585161006;0.0038948727867487861;-0.044607081563940998;2.1716155427244303e-07;0.80642253585161006;-0.035972147449928896;-0.93199140228929578;8.3818040078065259e-09;0.0081530655610168;4.5458028702228138e-07
2030;0.72579691134363733;-2.254124096368884;-0.1198718660429865;-0.011192840660578469;0.72579691134363733;-0.087434641206908068;-2.254124096368884;-0.00043201107591023247;-4.7185165078791105;-0.023429767470245423
2035;0.6521256807594985;-2.1710490512502352;-0.12849697171591346;-0.011374019357844982;0.6521256807594985;-0.084235179202129598;-2.1710490512502352;-0.00043900404635550949;-4.5446170440400984;-0.023809025504576899
2040;0.58593247726377495;-2.0910032543316581;-0.13774051358647066;-0.011524482620004398;0.58593247726377495;-0.08115145183569962;-2.0910032543316581;-0.00044481149039421464;-4.3770586497373767;-0.024123987483587819
2045;0.52645822981214696;-2.0138772020865914;-0.14764665984969283;-0.011646282060761829;0.52645822981214696;-0.078179311776490207;-2.0138772020865914;-0.00044951259434472535;-4.2156121032530347;-0.024378948012509085
2050;0.47302091938051882;-1.939565320967775;-0.15826271897795285;-0.0117413598484648;0.47302091938051882;-0.075314759154865074;-1.939565320967775;-0.00045318232025312599;-4.060056409422546;-0.024577972596617731
2055;0.42500775744224606;-1.8679658272538699;-0.16963936183463924;-0.011811553957128887;0.42500775744224606;-0.072553936355841286;-1.8679658272538699;-0.00045589160856751576;-3.9101785062542724;-0.024724908633112302
2060;0.38313913630853641;-2.3865645769075985;-0.24042035521831817;-0.060967809648828912;0.38313913630853641;-0.094467627272265181;-2.3865645769075985;-0.0023531800229272259;-4.9957517296399887;-0.12762279447730659
2065;0.34447592368300162;-2.2896802674036612;-0.25654911934604452;-0.06121196277324948;0.34447592368300162;-0.090737598479780746;-2.2896802674036612;-0.002362603622991441;-4.7929455866750965;-0.12813387572162874
2070;0.30971465726767317;-2.1966234246950953;-0.27374639706028159;-0.061325377454104872;0.30971465726767317;-0.087150252643396681;-2.1966234246950953;-0.0023669810996111984;-4.5981514095493567;-0.12837128458687891
2075;0.27846150949558979;-2.107245737231831;-0.29208185024724442;-0.061318142850784602;0.27846150949558979;-0.083700254781089778;-2.107245737231831;-0.002366701864977297;-4.4110587404230968;-0.12835614052482411
2080;0.25036240598564241;-2.0214045588094107;-0.31162958727071755;-0.061199762858569949;0.25036240598564241;-0.080382465987198767;-2.0214045588094107;-0.0023621327417892024;-4.2313689806204042;-0.12810833786463904
2085;0.22509901246559422;-1.9389626945656573;-0.33246843861965969;-0.060979185987783173;0.22509901246559422;-0.07719193632576668;-1.9389626945656573;-0.0023536191165032527;-4.0587949426598877;-0.12764660835837968
2090;0.20238512684329224;-1.8597881949297435;-0.35468224892742928;-0.060664833795879149;0.20238512684329224;-0.074123897974970585;-1.8597881949297435;-0.0023414860367286516;-3.8930604189320555;-0.12698858069735761
2095;0.18196343552853761;-1.7837541572933551;-0.37836018627039336;-0.060264627971892845;0.18196343552853761;-0.071173758617586527;-1.7837541572933551;-0.0023260392566083199;-3.7338997665412084;-0.12615083720751574
2100;0.16425061133683716;0.052845668263316443;0.012418151664911337;-0.00019962843492657287;0.16425061133683716;0.0020319839260090223;0.052845668263316443;-7.7050766262268429e-06;0.11062086531617273;-0.00041787853080514528
2105;0.14779408659207577;0.073716107702383182;0.019251292748551085;0.0010529232386312587;0.14779408659207577;0.0028858670002654824;0.073716107702383182;4.0639772776723121e-05;0.154308572296708;0.0022040648476338749
2110;0.13298682450268379;0.093068437998586218;0.027011479301705665;0.0023409454357272048;0.13298682450268379;0.0036825245386151529;0.093068437998586218;9.0353681161346126e-05;0.19481844933305179;0.0049002580205395434
2115;0.11966349207426627;0.11098357584165962;0.035797409611032505;0.0036561771796350577;0.11966349207426627;0.0044247608401362919;0.11098357584165962;0.00014111779886724022;0.23231987784341804;0.0076534084372858278
2120;0.10767533478841539;0.12753861013884374;0.045717240592579866;0.0049910397600234748;0.10767533478841539;0.0051152587961398738;0.12753861013884374;0.00019263960973130243;0.26697422661933595;0.010447651722941251
2125;0.096888513798191064;0.1428069721849459;0.056889442422780601;0.0063385939288743308;0.096888513798191064;0.0057565848061257203;0.1428069721849459;0.00024465127897474633;0.29893520803950796;0.013268462077272128
2130;0.087182609937810629;0.15685859854308931;0.069443727546364409;0.0076924994394456138;0.087182609937810629;0.0063511935028271035;0.15685859854308931;0.00029690809152482008;0.32834921902508529;0.016102567578397845
2135;0.078449277813320298;0.16976008694065156;0.083522060367685613;0.0090469768103119391;0.078449277813320298;0.0069014322935435227;0.16976008694065156;0.00034918697621804523;0.35535566737376839;0.018937870144160204
2140;0.070591034914036399;0.18157484547477912;0.0992797544585311;0.010396771202023748;0.070591034914036399;0.0074095457247835188;0.18157484547477912;0.00040128511154438867;0.38008728408896608;0.021763369915798567
2145;0.063520172196164876;0.19236323540562233;0.11688666468175901;0.01173711829923316;0.063520172196164876;0.0078776796768173264;0.19236323540562233;0.00045301860879661069;0.40267042228624744;0.024569093839631496
2150;0.057157773949867485;0.20218270780767553;0.13652848224626757;0.013063712096354263;0.057157773949867485;0.008307885394641161;0.20218270780767553;0.00050422126869050302;0.42322534324307881;0.027346028233371986
2155;0.051432835984382468;0.21108793433546469;0.15840814137220161;0.014372674489626733;0.051432835984382468;0.0087021233614943544;0.21108793433546469;0.00055474340770703817;0.44186649012823226;0.030086055133753582
2160;0.046281472266335277;0.21913093235109193;0.18274734696541173;0.015660526583207119;0.046281472266335277;0.0090622670209170517;0.21913093235109193;0.00060445075059099851;0.45870274992897281;0.032781892232099062
2165;0.041646201136422062;0.22636118465020816;0.20978823347785336;0.016924161621260668;0.041646201136422062;0.0093901063530818472;0.22636118465020816;0.00065322338560849444;0.47383770407123477;0.03542703621356616
2170;0.037475303120311151;0.23282575401350503;0.23979516597240069;0.018160819462416489;0.037475303120311151;0.0096873513109362562;0.23282575401350503;0.00070095477933521805;0.48736986820815281;0.038015709324994082
2175;0.033722243150861836;0.2385693928013472;0.27305669532083909;0.019368062516832915;0.033722243150861836;0.0099556351214773273;0.2385693928013472;0.00074755084789719477;0.49939292163248966;0.040542809004405031
2180;0.030345150739585033;0.243634647800202;0.30988768044842852;0.020543753070116657;0.030345150739585033;0.010196517457287977;0.243634647800202;0.00079292908174005521;0.5099959267497387;0.04300386041358132
2185;0.027306352283740478;0.24806196052033558;0.35063159160252377;0.021686031921967625;0.027306352283740478;0.010411487483250024;0.24806196052033558;0.00083701772114289086;0.51926353902944644;0.045394971722733463
2190;0.024571950278845459;0.25188976313754502;0.39566300977613711;0.022793298270906124;0.024571950278845459;0.01060196678322485;0.25188976313754502;0.00087975497982726442;0.52727620783827578;0.047712792003569642
2195;0.022111444731195695;0.25515457026208682;0.44539033866093369;0.023864190779866408;0.022111444731195695;0.010769312171253992;0.25515457026208682;0.00092108831414422325;0.5341103685382157;0.049954471594250996
2200;0.019873397647599159;0.3764638408577205;0.73114869050243669;0.058472798582068955;0.019873397647599159;0.016787288522648668;0.3764638408577205;0.0022568798567723369;0.78804483327613184;0.12240003370525666
2205;0.017885600720161168;0.38705016522894714;0.83525346516717947;0.059097665848910665;0.017885600720161168;0.017220007892884696;0.38705016522894714;0.0022809979147734791;0.81020499135432378;0.12370805686093629
2210;0.016096759100524282;0.39647002699107958;0.95066274724799893;0.059714341789474698;0.016096759100524282;0.017607389039712477;0.39647002699107958;0.0023047998114188346;0.82992341470916964;0.12499893326399263
