Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89807718538875903;0.0017406613270493912;-0.10031227727903547;5.5614035393804456e-08;0.89807718538875903;-0.090088162450807724;-0.96574352474567082;5.187885204760434e-09;0.010389655403592036;3.3194892904540519e-07
2025;0.80654263900720613;0.0033672538579288115;-0.10787013582219673;2.1513527849451295e-07;0.80654263900720613;-0.087001843947476981;-0.93265840583336468;2.0068623332591962e-08;0.020098457233837033;1.2840989651345144e-06
2030;0.72964224602188399;-0.84935565885173625;-0.10858893201048936;0.0022694933799916181;0.72964224602188399;-0.07901936541540161;-0.84935565885173625;0.00021170682984950062;-5.069632141204008;0.013546146968644181
2035;0.6559499149939847;-0.81393132200840268;-0.1157505411470805;0.0022431753820706998;0.6559499149939847;-0.075717305837354781;-0.81393132200840268;0.00020925178858040294;-4.8581914393376184;0.013389060162002538
2040;0.58970061672001217;-0.77991696093113538;-0.12337374043072113;0.0022184745023910582;0.58970061672001217;-0.072546623220902468;-0.77991696093113538;0.00020694759814848807;-4.6551665976441408;0.013241625607072725
2045;0.53014256764609347;-0.74725817813913065;-0.13148734260986505;0.0021952201921630137;0.53014256764609347;-0.069502259075030604;-0.74725817813913065;0.00020477834912484283;-4.4602329285628244;0.0131028253326235
2050;0.47659992076772417;-0.71590262871447941;-0.14012187497633999;0.0021732549237163641;0.47659992076772417;-0.066579345164809317;-0.71590262871447941;0.0002027293467392749;-4.2730779958656955;0.012971719087852196
2055;0.42846509513370479;-0.68579994413988332;-0.14930967363305792;0.0021524333850986318;0.42846509513370479;-0.063773196481821143;-0.68579994413988332;0.00020078703574942514;-4.093401160060286;0.012847439535104548
2060;0.38933191840005532;0.10880424636008026;0.026069444920173712;0.038077599244749086;0.38933191840005532;0.013701687861084253;0.10880424636008026;0.0035520208586884445;0.64943054031365333;0.22727748850468593
2065;0.35045551902878125;0.11301076275842142;0.030081040277568638;0.037501317269324132;0.35045551902878125;0.014040329704264673;0.11301076275842142;0.0034982631208636816;0.67453838590611404;0.22383777794932141
2070;0.31546202045348537;0.11682550878376845;0.034545903000365863;0.036925897520816445;0.31546202045348537;0.014342506173675822;0.11682550878376845;0.0034445858147902839;0.69730783337971392;0.22040321385203634
2075;0.2839635141146935;0.1202697205365043;0.039509333960346948;0.036351672521282262;0.2839635141146935;0.014610229271080331;0.1202697205365043;0.0033910199593692111;0.71786563672253034;0.21697578096973005
2080;0.25561085323445565;0.12336365726905484;0.045020871199680235;0.035778962749305462;0.25561085323445565;0.014845418750750076;0.12336365726905484;0.0033375954500412808;0.73633271931475686;0.21355739217425138
2085;0.23008977866031008;0.12612664289903305;0.051134670134783677;0.035208076621654795;0.23008977866031008;0.015049905990256431;0.12612664289903305;0.0032843410570760866;0.75282442171226505;0.21014988834291407
2090;0.20711743200208246;0.12857710583468585;0.057909916920195759;0.034639310506294874;0.20711743200208246;0.015225437706750604;0.12857710583468585;0.0032312844267857136;0.76745073935664199;0.20675503843615697
2095;0.18643921734438437;0.13073261718209264;0.065411277805477175;0.034072948764928113;0.18643921734438437;0.015373679525042473;0.13073261718209264;0.003178452085493208;0.78031655062623051;0.20337453975146827
2100;0.16798395625720758;-0.44254245909006534;-0.24574975198194959;-0.012600173221741782;0.16798395625720758;-0.042457406866921746;-0.44254245909006534;-0.0011753912797663121;-2.6414464318558051;-0.075207885511752143
2105;0.15121064663870398;-0.41870259616223804;-0.2583028701092116;-0.012399934978080486;0.15121064663870398;-0.040214856325401366;-0.41870259616223804;-0.0011567123075543195;-2.4991511117725742;-0.074012703934536392
2110;0.13611259980394269;-0.39596311849617583;-0.27137032540807127;-0.012179696323698429;0.13611259980394269;-0.038073088123168036;-0.39596311849617583;-0.001136167622233529;-2.363423768758329;-0.072698143950912744
2115;0.12252245276246637;-0.37427692178733574;-0.28495961502189859;-0.011941775983589168;0.12252245276246637;-0.036027924493873993;-0.37427692178733574;-0.001113973523142818;-2.233983246746337;-0.07127804556139386
2120;0.11028956679349959;-0.35359883181852381;-0.29907653431149872;-0.011688330982462879;0.11028956679349959;-0.034075352632930322;-0.35359883181852381;-0.0010903312256139094;-2.1105599099708812;-0.06976528361020562
2125;0.099278355801823245;-0.33388552757096007;-0.31372488406457011;-0.011421365961528276;0.099278355801823245;-0.03221151839412377;-0.33388552757096007;-0.0010654277300756326;-1.9928951840327589;-0.068171823395274014
2130;0.089366781796096806;-0.31509546732317217;-0.32890614368162319;-0.011142742009596598;0.089366781796096806;-0.030432720219643612;-0.31509546732317217;-0.0010394366458523277;-1.8807411147985258;-0.066508773379298683
2135;0.080445000783242598;-0.29718881764120952;-0.3446191069045812;-0.010854185034714603;0.080445000783242598;-0.02873540329696048;-0.29718881764120952;-0.0010125189721010806;-1.7738599445574443;-0.064786435158337097
2140;0.072414144037136155;-0.28012738514810182;-0.36085947633122117;-0.010557293698611418;0.072414144037136155;-0.027116153934181174;-0.28012738514810182;-0.00098482383796659814;-1.6720237047671824;-0.063014350820912973
2145;0.065185221204409172;-0.26387455096577334;-0.37761941260849863;-0.010253546935269253;0.065185221204409172;-0.025571694145905641;-0.26387455096577334;-0.00095648920394160106;-1.5750138247508598;-0.061201347824844245
2150;0.05867813306420315;-0.24839520772549886;-0.3948870338138899;-0.0099443110738940809;0.05867813306420315;-0.024098876441784087;-0.24839520772549886;-0.00092764252632416763;-1.4826207557251985;-0.059355581512814358
