Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89808872991868527;0.0029020410381077649;-0.10982418352032397;1.4185184926829181e-07;0.89808872991868527;-0.098631846987469018;-0.96459458177218083;1.4504655337921335e-08;0.027593605710596578;1.3487762394223147e-06
2025;0.80656337624904617;0.005613795176941219;-0.11795609508253868;5.4874817771032023e-07;0.80656337624904617;-0.09513901018824969;-0.93043593093025012;5.6110676216469813e-08;0.053377898044325474;5.217686673383519e-06
2030;0.7306461630640213;-0.36828237413207227;-0.051540216412815365;0.0015346469944895402;0.7306461630640213;-0.03750074042415559;-0.36828237413207227;0.00015692094135725393;-3.5017556569733967;0.014591952186350836
2035;0.65665205947615379;-0.35262251217887569;-0.054909455361767945;0.0015041218925172866;0.65665205947615379;-0.035902607263702285;-0.35262251217887569;0.00015379968431657176;-3.3528562959565615;0.014301709003350458
2040;0.59015166124351626;-0.33759408936666518;-0.058492961727951709;0.0014752643714495504;0.59015166124351626;-0.034368869593809914;-0.33759408936666518;0.00015084894099420126;-3.209960875772337;0.014027321753938039
2045;0.53038603162083664;-0.32317251389887675;-0.062303830779680824;0.0014479499997061861;0.53038603162083664;-0.032897025574016421;-0.32317251389887675;0.00014805598799462472;-3.0728355691490923;0.013767607299792865
2050;0.47667309803578756;-0.30933412858523041;-0.066355909661386381;0.0014220624392773714;0.47667309803578756;-0.03148466810176867;-0.30933412858523041;0.00014540892950722084;-2.941255435373642;0.013521459459048434
2055;0.42839986721838608;-0.29605617596330974;-0.070663835962170296;0.0013974929868170673;0.42839986721838608;-0.030129481292953481;-0.29605617596330974;0.00014289665038208846;-2.8150040886552099;0.013287844642851026
2060;0.38920735711794402;-0.35391392372587299;-0.092979888180938497;-0.01192848981176719;0.38920735711794402;-0.037408170169995113;-0.35391392372587299;-0.0012197136259700786;-3.3651354817330623;-0.11342018953783986
2065;0.350063711840786;-0.33548670828449939;-0.09799425974828524;-0.011712440634730998;0.350063711840786;-0.035501856441562507;-0.33548670828449939;-0.0011976221349876484;-3.1899231706194255;-0.11136591955097477
2070;0.314857342961394;-0.31789794384286407;-0.10323959788743342;-0.011483341604764094;0.314857342961394;-0.03367994174783917;-0.31789794384286407;-0.0011741962685991383;-3.0226831403903893;-0.10918756706781732
2075;0.28319216909281375;-0.30111204939017105;-0.10872246900791027;-0.011242813976440462;0.28319216909281375;-0.03193895363103269;-0.30111204939017105;-0.0011496018035563639;-2.8630770745405023;-0.10690054753524902
2080;0.25471195866204388;-0.28509489140138394;-0.11444913414503932;-0.010992367098464458;0.25471195866204388;-0.030275556199254313;-0.28509489140138394;-0.001123993073996344;-2.7107804197574588;-0.10451921236060042
2085;0.22909632013044282;-0.26981372658442943;-0.12042546683049271;-0.010733404727226873;0.22909632013044282;-0.028686544917872508;-0.26981372658442943;-0.0010975136170159293;-2.5654818415427889;-0.1020569089431166
2090;0.20605709573106024;-0.25523714684326998;-0.1266568604036844;-0.01046723102053768;0.20605709573106024;-0.027168841594741339;-0.25523714684326998;-0.0010702967855438089;-2.4268827009017984;-0.099526037664432479
2095;0.18533511811578127;-0.24133502637593404;-0.13314812364434991;-0.010195056226571259;0.18533511811578127;-0.025719489552567584;-0.24133502637593404;-0.0010424663300473425;-2.2946965513334208;-0.096938105981023467
2100;0.16770423900947651;0.07408513779018111;0.04517097494848854;0.019300500882513075;0.16770423900947651;0.0095488815228428926;0.07408513779018111;0.0019735175437904946;0.70442700649416634;0.18351580986475025
2105;0.1508702746520301;0.075568194492895535;0.051216249989774476;0.018917935052496684;0.1508702746520301;0.0096614090710796657;0.075568194492895535;0.0019343993684753568;0.71852842041760367;0.17987824218972437
2110;0.135726349504316;0.076869254872070664;0.057910980005485002;0.018547444985132413;0.135726349504316;0.0097565618781113861;0.076869254872070664;0.0018965159657494731;0.73089935061369982;0.17635549502512604
