Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.10663193356411499;0.54438750770757938;0.00041558477866798782;0.00089792357184410182;0.10663193356411499;4.4407250595505742e-05;0.42951463137950963;9.2642086323432924e-08;0.029143395523046827;4.8069695636322691e-05
2025;0.011370781716647871;0.12498551328376108;0.0010143286700792231;0.0004120135823156701;0.011370781716647871;1.157621885714443e-05;0.11178925688957966;4.250896073585004e-08;0.0066910099822427623;2.2056852187620116e-05
2030;0.0012126453217579723;0.02152045454737872;0.0018309926408277555;0.00010648306969334599;0.0012126453217579723;2.2313309110679517e-06;0.02152045454737872;1.0986250994898506e-08;0.0011520821286863591;5.7004949096816624e-06
2035;0.00014056182530725015;0.0049246172244014454;0.003614714871758018;7.7674940418528127e-05;0.00014056182530725015;5.1610493039684225e-07;0.0049246172244014454;8.0140100572726271e-09;0.00026363585780045661;4.1582723313743388e-06
2040;1.6322858326689421e-05;0.00089377541471083758;0.0056493846732341702;2.6586733955877302e-05;1.6322858326689421e-05;9.4957157044548171e-08;0.00089377541471083758;2.7430513903762035e-09;4.7847627013669058e-05;1.4233017701029878e-06
2045;1.8990536048868367e-06;0.00014655464507492235;0.0079621676641772332;6.5559517006506883e-06;1.8990536048868367e-06;1.5796984919756278e-08;0.00014655464507492235;6.7640171438709903e-10;7.8456980123292113e-06;3.5096818118883953e-07
2050;2.2136328996746349e-07;2.2705954541183865e-05;0.010582861624147677;1.3671539125833134e-06;2.2136328996746349e-07;2.4837113774249688e-09;2.2705954541183865e-05;1.4105431103322511e-10;1.2155470222095796e-06;7.3189606027290841e-08
2055;2.5853212801374041e-08;3.3938831300594476e-06;0.013544136327803269;2.5780918905866992e-07;2.5853212801374041e-08;3.7675856349285549e-10;3.3938831300594476e-06;2.6599124799336811e-11;1.8168910384227313e-07;1.3801630382467659e-08
2060;3.0259208015314952e-09;4.9511309857277417e-07;0.016881685819936099;4.5489978831862877e-08;3.0259208015314952e-09;5.5776013164213109e-11;4.9511309857277417e-07;4.6933688767491954e-12;2.6505525303307275e-08;2.4352734525718243e-09
2065;3.7548541788236364e-10;6.724074394400707e-08;0.018476018499646862;7.1873643847985731e-09;3.7548541788236364e-10;7.6790224167142981e-12;6.724074394400707e-08;7.4154688957211452e-13;3.5996850924741202e-09;3.8477040723528092e-10
2070;4.6942835388986901e-11;9.195619253473072e-09;0.020210665646291925;1.1419354611028314e-09;4.6942835388986901e-11;1.0665636433556365e-12;9.195619253473072e-09;1.1781769281990212e-13;4.9228089401210764e-10;6.1132697450855425e-11
2075;5.9143579194680227e-12;1.2667207270199109e-09;0.022097453464042793;1.8172074014176837e-10;5.9143579194680227e-12;1.4944104781618287e-13;1.2667207270199109e-09;1.8748798921045289e-14;6.7812987333670799e-11;9.7282897379363105e-12
2080;7.5110336563896021e-13;1.7580575044780195e-10;0.024149176332388667;2.8893968402872446e-11;7.5110336563896021e-13;2.1119624897695791e-14;1.7580575044780195e-10;2.9810972770299434e-15;9.4116349989399745e-12;1.5468179145794263e-12
2085;9.6161857561277757e-14;2.4586874311035162e-11;0.026379674435877964;4.5841664708428583e-12;9.6161857561277757e-14;3.009683856176047e-15;2.4586874311035162e-11;4.7296536056026984e-16;1.3162407156242703e-12;2.4541007042179614e-13
2090;1.2411837399045726e-14;3.4651232126583359e-12;0.028803917522007838;7.2522644023114964e-13;1.2411837399045726e-14;4.3233382711079444e-16;3.4651232126583359e-12;7.482428637210908e-17;1.85502890666693e-13;3.8824478321388579e-14
2095;1.6150224953775957e-15;4.9211414382278087e-13;0.031438095265856614;1.1437782046231563e-13;1.6150224953775957e-15;6.2574012612649711e-17;4.9211414382278087e-13;1.1800781546467385e-17;2.6344978407580708e-14;6.123134740608034e-15
2100;2.1225616263326111e-16;7.0561098527259277e-14;0.034298409356797732;1.8042009629786563e-14;2.1225616263326111e-16;9.1415094244063894e-18;7.0561098527259277e-14;1.861460669907765e-18;3.7774378981987865e-15;9.6586607008243219e-16
2105;2.7855034405400572e-17;9.8408799932459322e-15;0.036450139170979279;2.7976426313718987e-15;2.7855034405400572e-17;1.303962988281803e-18;9.8408799932459322e-15;2.8864310759253621e-19;5.2682446580324345e-16;1.497697955662945e-16
2110;3.7173477904051247e-18;1.395486778722952e-15;0.038731247501810895;4.4251393905032087e-16;3.7173477904051247e-18;1.896333123416953e-19;1.395486778722952e-15;4.5655795021204568e-20;7.4706385733875446e-17;2.3689666951601479e-17
2115;5.0479334219786468e-19;2.01328020127359e-16;0.041149025887740609;7.1274852735428153e-17;5.0479334219786468e-19;2.8125443714439924e-20;2.01328020127359e-16;7.3536894083808854e-21;1.0777951436011369e-17;3.8156482187891665e-18
2120;6.9763212244796421e-20;2.9556266267705552e-17;0.043711132158108512;1.1664870004406107e-17;6.9763212244796421e-20;4.2529366469666368e-21;2.9556266267705552e-17;1.2035076567601664e-21;1.5822735566645651e-18;6.2447046533981117e-19
2125;9.8096588683951913e-21;4.4141035552790713e-18;0.046425604447941637;1.9352429831672029e-18;9.8096588683951913e-21;6.5508549787158993e-22;4.4141035552790713e-18;1.9966615547823202e-22;2.3630587397733945e-19;1.0360184775205783e-19
