Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.87590368604416668;0.0091819892100472762;-0.059595727699546241;0.00024320834620006497;0.87590368604416668;-0.052186530984987323;-0.93441504070868908;1.3586579529677179e-05;0.096296808921429319;0.0025506659947386176
2025;0.76727368445376409;0.017320863927206644;-0.063571293654374195;0.00045936114603974061;0.76727368445376409;-0.0487509189783846;-0.87313157084884463;2.5661729299283897e-05;0.18165387540721234;0.0048175848930114276
2030;0.67285075500925529;-0.10102076941628259;-0.0083873272558765422;-0.010571723501627744;0.67285075500925529;-0.0062339977374663014;-0.10102076941628259;-0.00059057826084006441;-1.0594629885788602;-0.11087175281065147
2035;0.59067226556505581;-0.073198531905697431;-0.0069228903350537774;-0.0085756024103488156;0.59067226556505581;-0.0045682263652314136;-0.073198531905697431;-0.0004790670467667707;-0.76767516046948181;-0.089937281323733631
2040;0.51859510626797267;-0.048223196895293419;-0.0051946853222017975;-0.0067631684831704246;0.51859510626797267;-0.0030717557104221909;-0.048223196895293419;-0.00037781732372627183;-0.50574443846276573;-0.070929242915538357
2045;0.45531381577663826;-0.025849855116509446;-0.0031716039169182864;-0.0051157268625617678;0.45531381577663826;-0.0017298598046273672;-0.025849855116509446;-0.00028578472308317024;-0.27110231801158102;-0.053651573848429432
2050;0.39975492455748052;-0.0058633079346307009;-0.00081937091090944492;-0.0036212620744874979;0.39975492455748052;-0.00052984556964040975;-0.0058633079346307009;-0.00020229801296521051;-0.061491887096840302;-0.037978260926266744
2055;0.3509759809363911;0.011935573044003509;0.0018997547504007173;-0.0022685340140076267;0.3509759809363911;0.00054003901037791475;0.011935573044003509;-0.00012672927668254581;0.12517522842746301;-0.023791422695162448
2060;0.30838089415038672;0.001974241276317032;0.00035763863202586954;-0.01615250015733748;0.30838089415038672;-0.00079205358240820372;0.001974241276317032;-0.00090234250353506248;0.02070500526642648;-0.16940057167051231
2065;0.27127665705757509;0.0088164387003754879;0.0018155676172249002;-0.01414636463016717;0.27127665705757509;-0.000297750729626827;0.0088164387003754879;-0.00079027184348958498;0.092463070199271302;-0.1483610730269046
