Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89849335001389563;-0.013266948744816553;-0.22791743907464301;7.3016316548403057e-05;0.89849335001389563;-0.20476710158276934;-0.9835987271361627;1.5201777994605647e-05;-0.56073520337430138;0.0030860765272352222
2025;0.80737278853663397;-0.027984585536149312;-0.24943641341865774;0.00014179724928193319;0.80737278853663397;-0.20135865090260968;-0.96729623137412613;2.9521761788692258e-05;-1.1827845696689767;0.0059931421266013751
2030;0.73679072741569585;-0.046366034006349512;-0.013101778813939813;0.00037140566322979221;0.73679072741569585;-0.0095759435982092807;-0.046366034006349512;7.7325544552987388e-05;-1.9596870394459089;0.015697673527750144
2035;0.66260835429160014;-0.03490816729431713;-0.010968433509095377;0.00057279033478763847;0.66260835429160014;-0.0071485224477717225;-0.03490816729431713;0.00011925322884680581;-1.4754137265247806;0.024209312257535351
2040;0.59597118860185372;-0.024152589333355418;-0.0084374827460764745;0.0007599745207195795;0.59597118860185372;-0.0048702722063400381;-0.024152589333355418;0.00015822441464679107;-1.0208230507520739;0.032120759311855852
2045;0.53603610953635239;-0.014060157016098892;-0.0054609800464899827;0.00093357578274365805;0.53603610953635239;-0.0027329148219267076;-0.014060157016098892;0.0001943676764494316;-0.59426060622847743;0.039458116291179367
2050;0.48212899681394294;-0.0045990479677893159;-0.0019859995814053288;0.0010942571001845399;0.48212899681394294;-0.00072968694129523827;-0.0045990479677893159;0.00022782104456062354;-0.19438140202011975;0.046249404397185341
2055;0.43364354089738;0.0042611880250768555;0.0020458429008607393;0.0012426550135308835;0.43364354089738;0.0011458836044489636;0.0042611880250768555;0.00025871704479994511;0.18010155762387753;0.052521527378974593
2060;0.39340564880536261;0.012442543436790144;0.0065848068354912304;0.001514520516704791;0.39340564880536261;0.0029058188321084712;0.012442543436790144;0.00031531862673405721;0.52589123985634068;0.064012078910067105
2065;0.35433449562566732;0.01597199759451743;0.0093846972584216148;0.0020692444698645058;0.35433449562566732;0.0037561324588027767;0.01597199759451743;0.00043081048914037079;0.67506564559200177;0.087457805178749556
2070;0.3192005992080994;0.019257087735114628;0.012560339450581881;0.0025922178112511513;0.3192005992080994;0.0045489598483371158;0.019257087735114628;0.00053969196945424965;0.81391186588891695;0.10956157361731779
2075;0.28755132963994412;0.022308125358162043;0.016151845870859827;0.0030839626804795737;0.28755132963994412;0.0052865565318818281;0.022308125358162043;0.00064207177557664384;0.94286572219521825;0.13034545275627962
2080;0.25904098460973318;0.025137039271815327;0.020203197389306871;0.0035457297588082646;0.25904098460973318;0.0059716664395833112;0.025137039271815327;0.00073821029559246847;1.0624313924342419;0.14986230335686404
2085;0.23335816726757447;0.027755221855652028;0.024762595493627026;0.0039787310182946359;0.23335816726757447;0.006606913759628236;0.027755221855652028;0.00082835985844713442;1.1730903820675833;0.16816335011369887
2090;0.21022238106030927;0.030173551675278212;0.029882845398787605;0.0043841405279712213;0.21022238106030927;0.0071948078143802517;0.030173551675278212;0.00091276490179001413;1.2753024799144252;0.18529821572831079
2095;0.18938096265158408;0.032402415179613578;0.035621772702287835;0.0047630952638799016;0.18938096265158408;0.0077377477463363258;0.032402415179613578;0.00099166214062113619;1.3695066751997467;0.20131495514568665
2100;0.16703227913950153;0.034489368674393103;0.042989194050951918;0.0049717017906472354;0.16703227913950153;0.008215676454198689;0.034489368674393103;0.0010350933934978896;1.4577129624807703;0.21013182973094421
2105;0.15043831003288893;0.034708487719900344;0.048034327073023797;0.005099369599179066;0.15043831003288893;0.0082878764365554407;0.034708487719900344;0.001061673448122696;1.4669741547043169;0.21552778293453348
2110;0.13552323450817694;0.034882529495353143;0.053588139260143941;0.0052182008843790536;0.13552323450817694;0.0083488517289161956;0.034882529495353143;0.0010864137651068646;1.4743301302365417;0.22055025540770695
2115;0.12208734644182954;0.035007154031872607;0.059698114757586462;0.0053258936738635855;0.12208734644182954;0.0083972194990415486;0.035007154031872607;0.0011088350807079931;1.4795974578018172;0.22510195296643523
2120;0.10998390514808334;0.035085460368659671;0.066415968344024634;0.0054229588129814073;0.10998390514808334;0.0084337313140620332;0.035085460368659671;0.0011290437513947222;1.48290712007069;0.22920446678258696
