Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89818055258833729;0.002334435022643775;-0.20106568808285763;1.0355504466241681e-05;0.89818055258833729;-0.18059135338969506;-0.96526110688077493;1.9374391202753305e-06;0.090269911632791675;0.00040043542185293083
2025;0.80673544731423852;0.0045163155123953917;-0.21608130368724332;2.0198680814008561e-05;0.80673544731423852;-0.17431666816097405;-0.93173310609067728;3.77902539799857e-06;0.17464071531450359;0.00078105970587888601
2030;0.7342012707280261;0.0055673252369916482;0.001418692476307104;5.4356216706952892e-05;0.7342012707280261;0.0010517754693291988;0.0055673252369916482;1.0169650452232851e-05;0.21528204996046099;0.0021018922485461092
2035;0.66040005791863188;0.010967216855083927;0.0031070349072070957;0.00016874654065581846;0.66040005791863188;0.0020834572758086588;0.010967216855083927;3.1571243133881721e-05;0.42408963486372475;0.0065252342282325635
2040;0.59402424696809875;0.016006570677389882;0.0050413973470220252;0.00027982708505731499;0.59402424696809875;0.0030470658630097286;0.016006570677389882;5.2353600277999391e-05;0.61895563876335247;0.010820590847706825
2045;0.53432010248412898;0.020702567010980399;0.0072490231993793675;0.00038753335884026736;0.53432010248412898;0.0039458034748792257;0.020702567010980399;7.2504656077013608e-05;0.80054440433158403;0.014985468311579594
2050;0.48061700199515739;0.025072172179466078;0.0097599959144767379;0.00049181457908625977;0.48061700199515739;0.0047828348853192326;0.025072172179466078;9.201490941843863e-05;0.96951199974688917;0.019017902902928627
2055;0.43231173348752733;0.029131717476526847;0.012607409832759986;0.00059263275760076072;0.43231173348752733;0.0055612084525771821;0.029131717476526847;0.0001108772529890157;1.1264899373122605;0.022916425662056959
2060;0.39419321608410757;0.032806957311443667;0.015570896282862678;0.0008428072696621304;0.39419321608410757;0.0062956247568642636;0.032806957311443667;0.00015768307381054843;1.2686072256107932;0.032590385689858822
2065;0.35500773546013087;0.036104773199040714;0.019027582310615632;0.0010277266578973721;0.35500773546013087;0.0069472190457718786;0.036104773199040714;0.00019228013839897844;1.3961299648890364;0.039741005293003964
2070;0.31972334419511039;0.039146183305019476;0.022907193418625349;0.001209353864256663;0.31972334419511039;0.0075502257457725677;0.039146183305019476;0.00022626125984544741;1.5137377881279346;0.046764320017607414
2075;0.28794669489521457;0.041944037208813116;0.027253038913577221;0.0013872967457750373;0.28794669489521457;0.008106975552085529;0.041944037208813116;0.00025955307107029812;1.6219275737536161;0.053645166147201787
2080;0.25932899267300447;0.044511218207443429;0.032112580924381628;0.0015612286888980621;0.25932899267300447;0.0086198177283173683;0.044511218207443429;0.00029209446506714247;1.7211975040124987;0.060370913912095168
2085;0.23355613223148947;0.046860051266156694;0.037537754456240524;0.0017308640248480437;0.23355613223148947;0.0090910047387526456;0.046860051266156694;0.00032383199529775059;1.8120241711047791;0.066930516829918796
2090;0.21034524760140383;0.049002305038395845;0.043585357193126617;0.0018959544678014107;0.21034524760140383;0.0095226919598849439;0.049002305038395845;0.00035471920930109889;1.8948626552944297;0.073314373974051855
2095;0.18944160472956709;0.050949208516133694;0.050317479945793941;0.0020562862119841516;0.18944160472956709;0.0099169402524601803;0.050949208516133694;0.00038471610558116556;1.9701471687583918;0.079514217721647962
2100;0.17129099141093432;0.052705704802205822;0.057567836285438156;0.0022436799240415518;0.17129099141093432;0.010280627848768556;0.052705704802205822;0.00041977609805349606;2.0380688555858488;0.086760516575065921
2105;0.15400896573187592;0.053555496987979637;0.065060119088583557;0.0023190088580529507;0.15400896573187592;0.010453711241693333;0.053555496987979637;0.00043386959046790192;2.070929339930863;0.08967339962841403
2110;0.13847327788864022;0.054294464383203483;0.073357814584523728;0.0023881166966773556;0.13847327788864022;0.01060489620571773;0.054294464383203483;0.00044679916145163104;2.0995043573630574;0.092345720093643016
2115;0.12450497203378358;0.0549278650896773;0.08253968909309739;0.0024513102063536576;0.12450497203378358;0.010735223886974246;0.0549278650896773;0.00045862220476096394;2.1239972326184953;0.094789340275362774
2120;0.11194589467242386;0.055461828341682;0.092692119977427767;0.002508847025178903;0.11194589467242386;0.010845889222555669;0.055461828341682;0.00046938692259886582;2.1446449761222039;0.097014222741829872
2125;0.10065385162356735;0.055902268522092693;0.10390963948777032;0.0025609813175772492;0.10065385162356735;0.010938046302529928;0.055902268522092693;0.00047914086726951952;2.1616762902429869;0.099030195738374044
2130;0.090500997825081905;0.056254871816189198;0.11629567833196242;0.0026079624010833988;0.090500997825081905;0.011012805616046908;0.056254871816189198;0.0004879306842595528;2.1753110532116628;0.10084690008669639
2135;0.081372389231872566;0.056525107694222698;0.1299634210969236;0.0026500349025868255;0.081372389231872566;0.011071236228874817;0.056525107694222698;0.00049580214147018978;2.1857607631386786;0.10247379522665351
2140;0.073164680744878793;0.05671825082673846;0.14503678067538384;0.0026874395833451428;0.073164680744878793;0.011114370037950681;0.05671825082673846;0.00050280028357121628;2.1932293854543827;0.10392019111857349
2145;0.065784955499643555;0.056839411398638851;0.16165151941124889;0.0027204147093050175;0.065784955499643555;0.011143207699296772;0.056839411398638851;0.00050896968837799671;2.1979145251188998;0.10519530123198627
2150;0.059149672270074116;0.056893575312434622;0.17995656230015422;0.0027491980526570254;0.059149672270074116;0.011158726524231041;0.056893575312434622;0.00051435484132774344;2.2000089812355208;0.10630831994344284
2155;0.053183719060783077;0.056885657872879282;0.20011557250680934;0.0027740297325098552;0.053183719060783077;0.01116189105483879;0.056885657872879282;0.0005190006669488767;2.1997028229736348;0.10726853238211252
2160;0.047819562154658019;0.056820576758248642;0.22230889846130975;0.0027951562271048766;0.047819562154658019;0.011153667467021174;0.056820576758248642;0.00052295327951701505;2.197186211284003;0.10808546957749586
2165;0.04299648095645453;0.056703353045808008;0.24673606426791617;0.0028128360513685982;0.04299648095645453;0.0111350435338495;0.056703353045808008;0.000526261045283501;2.1926533054371311;0.10876912800383406
2170;0.03865987993741328;0.056539253312863032;0.27361907606235913;0.0028273478180595364;0.03865987993741328;0.011107056719813758;0.056539253312863032;0.00052897609065700145;2.1863077579071204;0.10933028129536715
2175;0.034760669849451628;0.056333992055329081;0.30320698062781259;0.002839001716528477;0.034760669849451628;0.011070834199448038;0.056333992055329081;0.00053115644979556849;2.1783705416644334;0.10978092411676271
2180;0.031254711148853503;0.056094022752098974;0.335782378495042;0.0028481558819074314;0.031254711148853503;0.011027650375899666;0.056094022752098974;0.00053286912716212984;2.1690912052995124;0.11013490514078553
2185;0.028102313256110376;0.055826959018627449;0.37167102519177764;0.0028552397178996489;0.028102313256110376;0.010979010039206885;0.055826959018627449;0.0005341944610478596;2.1587641585464628;0.11040882891370531
2190;0.025267783887575009;0.055542185733370379;0.4112563502303046;0.0028607869787783857;0.025267783887575009;0.010926768892984303;0.055542185733370379;0.00053523231297210663;2.1477523038380708;0.11062333509805844
2195;0.022719023233264232;0.05525174461407982;0.45500183108447834;0.0028654822162736712;0.022719023233264232;0.010873307929141113;0.05525174461407982;0.00053611075755508227;2.1365212805204048;0.11080489452022406
2200;0.019392351378325241;0.055902343973324505;0.53933220101012314;0.001494448165180862;0.019392351378325241;0.010738519869308754;0.055902343973324505;0.00027960031767490685;2.1616792078551552;0.057788588031841663
2205;0.01742414999168182;0.049515028040641187;0.5316700945195485;0.0013201319486430602;0.01742414999168182;0.0095108865019339316;0.049515028040641187;0.00024698702893366856;1.9146890628216651;0.051047980856916184
2210;0.015651437920982114;0.044779877237617463;0.53528547629086987;0.0011850171643254914;0.015651437920982114;0.0085996954435160616;0.044779877237617463;0.00022170804134616882;1.7315862390502792;0.0458232478819895
2215;0.014057096069685771;0.040906657876301135;0.54444647456906026;0.001073926398243327;0.014057096069685771;0.007854260169619395;0.040906657876301135;0.00020092377180038444;1.5818133106590333;0.041527496001905424
2220;0.012624019484279023;0.03761668192005637;0.55749327510622448;0.0009808302742289215;0.012624019484279023;0.0072213121354243815;0.03761668192005637;0.00018350616812887795;1.4545937324898006;0.037927576189779572
2225;0.011336299705794405;0.034763608216362644;0.57373366269891646;0.00090221516214564429;0.011336299705794405;0.0066728146074983997;0.034763608216362644;0.0001687978558403266;1.344268660848869;0.034887620418073195
2230;0.010179422660102005;0.032255982186828937;0.59284877639127487;0.00083565770471489827;0.010179422660102005;0.0061912037109293269;0.032255982186828937;0.00015634544251823691;1.2473016526013072;0.032313920254008463
2235;0.0091402375666046858;0.030030775220687318;0.6147037519191767;0.00077933241010126185;0.0091402375666046858;0.0057643457176207967;0.030030775220687318;0.00014580739199629086;1.1612554640161181;0.030135886032389529
2240;0.0082068673506546751;0.028041762182903975;0.6392705419221989;0.00073179073811558456;0.0082068673506546751;0.0053833212317398607;0.028041762182903975;0.00013691269300324625;1.084342622401091;0.028297504373703656
2245;0.0073686042792401396;0.026253567895742454;0.66659170240033205;0.00069184438796644049;0.0073686042792401396;0.0050412894939682075;0.026253567895742454;0.00012943902315515083;1.0151952104069362;0.026752825055993624
2250;0.0066158052542542511;0.024638283156279247;0.69676212298094287;0.00065849624144359575;0.0066158052542542511;0.0047328423431128872;0.024638283156279247;0.00012319982893021879;0.95273401132502411;0.025463290667357977
2255;0.0059397921122901825;0.023173394312844074;0.72991991089498276;0.00063089594069934581;0.0059397921122901825;0.0044536085439343025;0.023173394312844074;0.00011803601459673112;0.89608844819472233;0.024396018849956826
2260;0.0053327589016531739;0.021840450207409778;0.7662428613340877;0.00060830940804652313;0.0053327589016531739;0.0041999986791978038;0.021840450207409778;0.00011381023959024933;0.8445450360021074;0.02352262366573259
2265;0.0047876866965464674;0.020624179276731477;0.80594936381828131;0.00059009683600244514;0.0047876866965464674;0.0039690358478547466;0.020624179276731477;0.00011040280061187227;0.79751324099865428;0.022818364496778352
2270;0.0042982658766325607;0.019511908583936768;0.84930421785247567;0.00057569617710929478;0.0042982658766325607;0.0037582438811698277;0.019511908583936768;0.00010770854269442518;0.75450301532245911;0.022261507615721772
2275;0.0038588255081306653;0.018493213912348223;0.89663163347051267;0.00056461059314040051;0.0038588255081306653;0.003565579529673661;0.018493213912348223;0.00010563451104078159;0.71511126652966095;0.021832840860998105
2280;0.0034642693270289598;0.017559784563276257;0.94834058979262892;0.0005563995239241087;0.0034642693270289598;0.0033894054968613115;0.017559784563276257;0.00010409828006615425;0.67901662948092678;0.021515328278563506
2285;0.0031100177593463411;0.016705541277837486;1.0049732155743563;0.00055067481437287168;0.0031100177593463411;0.0032285117768972205;0.016705541277837486;0.00010302722879357382;0.64598402624224993;0.02129396035857389
2290;0.0027919553680291558;0.015927123229637019;1.0672979448925091;0.00054710710716072823;0.0027919553680291558;0.0030822079634062007;0.015927123229637019;0.0001023597368770739;0.61588349753066152;0.02115600123285484
2295;0.0025063830509475353;0.015224991638395868;1.1364921023664154;0.00054545637249007258;0.0025063830509475353;0.0029505354394045993;0.015224991638395868;0.00010205089649768448;0.58873287818116693;0.021092169225793659
2300;0.002219172120916036;0.0146515344562765;1.2352331186740617;0.0004713922888144473;0.002219172120916036;0.002829388948120556;0.0146515344562765;8.8194048326908654e-05;0.56655794992101782;0.018228196477050932
2305;0.0019944829380015724;0.0095789902090460798;0.89855819266349002;0.00036163274755469796;0.0019944829380015724;0.001859817825274441;0.0095789902090460798;6.7658841205580408e-05;0.37040851054517232;0.013983921526466778
2310;0.0017913188229879431;0.006344916087017931;0.66268905484125895;0.00027660331055430134;0.0017913188229879431;0.0012388378333802533;0.006344916087017931;5.1750455655016903e-05;0.24535059187209041;0.01069593120342959
2315;0.0016082710229054725;0.0040838613935260939;0.47508198341383867;0.00020988867530017215;0.0016082710229054725;0.00080332922294108831;0.0040838613935260939;3.9268635512153282e-05;0.15791821298871267;0.0081161531540993436
2320;0.0014435623610258839;0.0024881879994424969;0.32248123295701703;0.00015827261364408205;0.0014435623610258839;0.00049513341805574457;0.0024881879994424969;2.9611648021774992e-05;0.096215362028399976;0.0061202195430403459
2325;0.0012954609613865101;0.0013951726198208007;0.20149321149869337;0.0001195177124253257;0.0012954609613865101;0.00028338747903235113;0.0013951726198208007;2.2360889551398385e-05;0.05394971711874131;0.0046216121821926132
2330;0.0011623543273151812;0.00070241444775783163;0.11306070870018559;9.1880047969854822e-05;0.0011623543273151812;0.00014860668874789229;0.00070241444775783163;1.7190084740910405e-05;0.027161557084971498;0.0035528955531443315
2335;0.0010427646303430278;0.00033893075152104395;0.060810907850283868;7.3928224535666767e-05;0.0010427646303430278;7.7242893765019124e-05;0.00033893075152104395;1.3831429919693931e-05;0.013106061506390028;0.0028587192323931169
