Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89816619230983585;0.0023397249334589395;-0.2080303229312519;2.8632449809330631e-05;0.89816619230983585;-0.1868402605233887;-0.96524034687164717;5.5425087593374833e-06;0.095395576000859711;0.0011674060496670497
2025;0.80672196855516909;0.0045265555770068163;-0.2235648171557969;5.5543719560557467e-05;0.80672196855516909;-0.18034389755444724;-0.93170722337590639;1.0751841153677777e-05;0.18455732568960426;0.0022646359172128665
2030;0.73455490567654314;0.005595115931802363;0.0014744590185133966;9.5442603831856327e-05;0.73455490567654314;0.0011015463482624257;0.005595115931802363;1.8475242994389369e-05;0.228124810516424;0.0038913985303826648
2035;0.66070908339544432;0.010971411169446343;0.0032144012900747754;0.00032098443877235635;0.66070908339544432;0.0021859184941995522;0.010971411169446343;6.2134364169113415e-05;0.44732783460332659;0.01308722020529726
2040;0.59430527510033693;0.015989207049541428;0.0052079309962482778;0.00053555875880325493;0.59430527510033693;0.0031987713188588009;0.015989207049541428;0.0001036704554298962;0.65191407522980915;0.021835872904432847
2045;0.53457563337762404;0.020665440773040555;0.0074831317850854173;0.00073949173259102061;0.53457563337762404;0.004143446568334843;0.020665440773040555;0.00014314665467457608;0.84257409820454521;0.030150655220015476
2050;0.48084931690617183;0.025016963288624475;0.010071020218660465;0.00093310801306912671;0.48084931690617183;0.0050232689990850439;0.025016963288624475;0.00018062580639391455;1.0199949526471015;0.038044803944604036
2055;0.43252291331270343;0.029060000508906784;0.013005719346598221;0.0011167280760013918;0.43252291331270343;0.0058414415680036937;0.029060000508906784;0.00021616994648564116;1.18483820362343;0.045531385558640995
2060;0.39445439181507647;0.032735926714171387;0.016064814828287144;0.0014294102262490977;0.39445439181507647;0.0066135339630033546;0.032735926714171387;0.00027669720028952738;1.3347135554962937;0.058280103752608441
2065;0.35524233547320094;0.036043863942732339;0.019640588884470289;0.0017706509804126754;0.35524233547320094;0.0073199213335678227;0.036043863942732339;0.00034275266817960712;1.469585211895128;0.072193217141658689
