Nodes;250_0.05;280_0.05;280_0.1;250_0.1
0;400.0;400.0;400.0;400.0
1;390.63780945299874;392.10689195425289;391.42758427804557;394.04888539700551
2;390.63780945299874;392.10689195425289;391.42758427804557;394.04888539700551
3;384.07188320034226;386.47890936646456;383.03412009672383;390.74753639171718
4;384.07188320034226;386.47890936646456;383.03412009672383;390.74753639171718
5;409.00157964221904;416.26056554032442;417.94625668784619;422.55379994347282
6;409.00157964221904;416.26056554032442;417.94625668784619;422.55379994347282
7;368.19844317210698;374.27200883688846;362.63955593003038;374.89062956050384
8;368.19844317210698;374.27200883688846;362.63955593003038;374.89062956050384
9;383.04849402408269;389.5636778471283;381.43568636461384;393.42484994852765
10;383.04849402408269;389.5636778471283;381.43568636461384;393.42484994852765
11;397.93660090594159;412.43993655246635;414.74605965959529;426.92208114619382
12;397.93660090594159;412.43993655246635;414.74605965959529;426.92208114619382
13;476.16531588491563;489.91276801232004;501.53077187274766;497.76545411414145
14;476.16531588491563;489.91276801232004;501.53077187274766;497.76545411414145
15;321.88283444369296;351.25393470339242;323.3029726832201;297.48488892880908
16;321.88283444369296;351.25393470339242;323.3029726832201;297.48488892880908
17;341.57682290099785;364.61768905010376;333.8769624377245;305.45624764325413
18;341.57682290099785;364.61768905010376;333.8769624377245;305.45624764325413
19;340.63979346839676;363.39978377700123;333.32932822300609;303.54647572774178
20;340.63979346839676;363.39978377700123;333.32932822300609;303.54647572774178
21;363.78433797200648;391.96495265222768;353.87890710723036;400.03251286185338
22;363.78433797200648;391.96495265222768;353.87890710723036;400.03251286185338
23;337.15517963763847;371.4401244050602;337.42382933265236;361.14313961164697
24;337.15517963763847;371.4401244050602;337.42382933265236;361.14313961164697
25;380.64120379022563;414.57972117830116;437.9915311499206;526.84901042912645
26;380.64120379022563;414.57972117830116;437.9915311499206;526.84901042912645
27;525.02321723453338;564.78955699693734;613.48790645850181;595.24746955101966
28;525.02321723453338;564.78955699693734;613.48790645850181;595.24746955101966
29;680.84897157128341;684.15861233072042;692.58017568741843;691.93884407550922
30;680.84897157128341;684.15861233072042;692.58017568741843;691.93884407550922
31;306.77223321250392;345.55354012109615;312.51030696460072;297.16846442321565
32;306.77223321250392;345.55354012109615;312.51030696460072;297.16846442321565
33;325.79644996512508;356.43459467024434;324.90827870907344;302.11912587181882
34;325.79644996512508;356.43459467024434;324.90827870907344;302.11912587181882
35;324.55476905159134;355.39065721468194;324.71582926442107;300.74877824210165
36;324.55476905159134;355.39065721468194;324.71582926442107;300.74877824210165
37;339.53826067228778;367.18638318947029;332.01239023209689;305.96793361462665
38;339.53826067228778;367.18638318947029;332.01239023209689;305.96793361462665
39;323.10376939929461;354.39293798776743;323.99955680140704;300.20072840363764
40;323.10376939929461;354.39293798776743;323.99955680140704;300.20072840363764
41;338.14172071777779;366.07519676071797;331.11500790776603;305.31856719397138
42;338.14172071777779;366.07519676071797;331.11500790776603;305.31856719397138
43;336.07789225544764;363.26770591381506;329.88290820955905;296.0132022061311
44;336.07789225544764;363.26770591381506;329.88290820955905;296.0132022061311
45;353.7856775234801;377.39892955631728;339.88214766860455;359.19522254860044
46;353.7856775234801;377.39892955631728;339.88214766860455;359.19522254860044
47;320.17182178851289;351.31392252468873;321.75098123668243;291.60612535749084
48;320.17182178851289;351.31392252468873;321.75098123668243;291.60612535749084
49;335.75817256180443;361.94447178111977;328.33391038996581;326.1431498932422
50;335.75817256180443;361.94447178111977;328.33391038996581;326.1431498932422
51;332.26788790270189;365.42261328897638;329.53180207869849;293.21011536273306
52;332.26788790270189;365.42261328897638;329.53180207869849;293.21011536273306
53;348.50395865837595;379.37079764258453;460.14385466638157;565.66662109667641
54;348.50395865837595;379.37079764258453;460.14385466638157;565.66662109667641
55;363.858507218809;411.21137734942516;514.87045817228307;366.82614567200187
56;363.858507218809;411.21137734942516;514.87045817228307;366.82614567200187
57;483.36449525821956;566.47215366318289;679.4036039051241;687.65638277869743
58;483.36449525821956;566.47215366318289;679.4036039051241;687.65638277869743
59;718.8725643197954;716.75722018384272;735.13241867931652;750.88536939022765
60;718.8725643197954;716.75722018384272;735.13241867931652;750.88536939022765
61;840.89060727881622;846.23038137993683;855.2637735791734;854.31271865306621
62;840.89060727881622;846.23038137993683;855.2637735791734;854.31271865306621
63;338.73274841286923;371.51823511901694;330.07431153145649;306.83313844061951
64;352.50338168498683;379.95872806832983;335.8871202324413;310.95324229197905
65;351.80462144909382;379.69795275942136;336.955297901846;310.31624484300971
66;362.40418816094643;389.17287118021346;342.50539179992052;313.9042998572163
67;349.57035489026248;378.54209172481637;336.28898129796346;309.99720786254869
68;360.50454304736456;387.90694574236574;341.77645925126603;313.63718570557995
