Nodes;0.1_1.0;0.2_1.0_;0.3_1.0_;0.3_1.05;0.3_1.1_;0.35_1.05;0.35_1.1;0.4_1.0_;**0.3_1.0
0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0
1;394.14847306029793;393.94832613709923;393.38226678093218;393.36895919390594;393.82084156102258;393.74565161075452;393.8447294159663;393.29481736156771;390.67075158715949
2;394.14847306029793;393.94832613709923;393.38226678093218;393.36895919390594;393.82084156102258;393.74565161075452;393.8447294159663;393.29481736156771;390.67075158715949
3;393.9013605621278;393.43811357657955;391.32741440640308;391.32225223633202;393.06702382273409;392.9348761643713;393.45066066675525;391.14989301816911;384.97626976998782
4;393.9013605621278;393.43811357657955;391.32741440640308;391.32225223633202;393.06702382273409;392.9348761643713;393.45066066675525;391.14989301816911;384.97626976998782
5;416.68156377462304;416.06660548919552;415.46458337336441;415.39356595342645;415.78223735049136;415.49544436692997;415.44577725434448;415.14908080265189;408.40218451133109
6;416.68156377462304;416.06660548919552;415.46458337336441;415.39356595342645;415.78223735049136;415.49544436692997;415.44577725434448;415.14908080265189;408.40218451133109
7;381.120283405638;380.68815587049755;379.5335173654546;379.51757445649463;380.29018338634586;380.14882337502507;380.33639615417195;379.31447182913678;370.84920416619167
8;381.120283405638;380.68815587049755;379.5335173654546;379.51757445649463;380.29018338634586;380.14882337502507;380.33639615417195;379.31447182913678;370.84920416619167
9;398.9020040851843;398.05160706465989;391.32790089295997;391.01913153091374;397.52658258586274;397.31263088735625;399.26127025163072;390.83948194766896;384.27820690154164
10;398.9020040851843;398.05160706465989;391.32790089295997;391.01913153091374;397.52658258586274;397.31263088735625;399.26127025163072;390.83948194766896;384.27820690154164
11;411.7658838576508;410.99105261731677;410.21809068479348;410.14342659687765;410.35939114803892;410.07512986254847;410.02489540328196;409.71257685998603;399.97422327865291
12;411.7658838576508;410.99105261731677;410.21809068479348;410.14342659687765;410.35939114803892;410.07512986254847;410.02489540328196;409.71257685998603;399.97422327865291
13;473.8950145314352;472.44203062724478;471.8684591568819;471.58173915991944;472.36675818956502;471.22704698038763;470.97642962246221;470.49503487120739;461.01405564941263
